Datum Tid (UTC) Lufttemperatur Kvalitet
1951 08 06 18.45 Y
1951 08 07 18.55 Y
1951 08 08 19.625 Y
1951 08 09 19.475 Y
1951 08 10 16.8 Y
1951 08 11 14.725 Y
1951 08 12 14.95 Y
1951 08 13 16.65 Y
1951 08 14 15.575 Y
1951 08 15 14.6 Y
1951 08 16 14.7 Y
1951 08 17 14.45 Y
1951 08 18 15.025 Y
1951 08 19 15.7 Y
1951 08 20 17.9 Y
1951 08 21 18.75 Y
1951 08 22 19.825 Y
1951 08 23 17.275 Y
1951 08 24 16.5 Y
1951 08 25 17.825 Y
1951 08 26 18.4 Y
1951 08 27 17.425 Y
1951 08 28 16.675 Y
1951 08 29 17.425 Y
1951 08 30 20.225 Y
1951 08 31 21.225 Y
1951 09 01 19.95 Y
1951 09 02 15.625 Y
1951 09 03 16.725 Y
1951 09 04 16 Y
1951 09 05 17.9 Y
1951 09 06 17.65 Y
1951 09 07 16.5 Y
1951 09 08 13.075 Y
1951 09 09 12.35 Y
1951 09 10 10.675 Y
1951 09 11 13.225 Y
1951 09 12 13.9 Y
1951 09 13 14.875 Y
1951 09 14 17.85 Y
1951 09 15 15.3 Y
1951 09 16 15.625 Y
1951 09 17 13.575 Y
1951 09 18 12.6 Y
1951 09 19 10.8 Y
1951 09 20 9.6 Y
1951 09 21 9.775 Y
1951 09 22 10.25 Y
1951 09 23 10.925 Y
1951 09 24 11.15 Y
1951 09 25 11.75 Y
1951 09 26 12.225 Y
1951 09 27 12.7 Y
1951 09 28 13.65 Y
1951 09 29 12.5 Y
1951 09 30 11.45 Y
1951 10 01 9.2 Y
1951 10 02 11.675 Y
1951 10 03 11.125 Y
1951 10 04 11.425 Y
1951 10 05 8.75 Y
1951 10 06 6.55 Y
1951 10 07 8.175 Y
1951 10 08 9.525 Y
1951 10 09 10.625 Y
1951 10 10 8.825 Y
1951 10 11 5.63333 Y
1951 10 12 7.925 Y
1951 10 13 10.475 Y
1951 10 14 8.925 Y
1951 10 15 7.25 Y
1951 10 16 7.725 Y
1951 10 17 8.025 Y
1951 10 18 7.725 Y
1951 10 19 5.575 Y
1951 10 20 8.725 Y
1951 10 21 9.15 Y
1951 10 22 9.725 Y
1951 10 23 9.45 Y
1951 10 24 5.85 Y
1951 10 25 9.6 Y
1951 10 26 9.575 Y
1951 10 27 8 Y
1951 10 28 4.86667 Y
1951 10 29 7.15 Y
1951 10 30 7.175 Y
1951 10 31 8.4 Y
1951 11 01 8.925 Y
1951 11 02 8.6 Y
1951 11 03 5.3 Y
1951 11 04 5.975 Y
1951 11 05 6.65 Y
1951 11 06 5.575 Y
1951 11 07 6.375 Y
1951 11 08 6.75 Y
1951 11 09 6.95 Y
1951 11 10 4.525 Y
1951 11 11 1.86667 Y
1951 11 12 3.43333 Y
1951 11 13 2.9 Y
1951 11 14 2.825 Y
1951 11 15 1.06667 Y
1951 11 16 2.33333 Y
1951 11 17 6.4 Y
1951 11 18 8 Y
1951 11 19 6.825 Y
1951 11 20 7.775 Y
1951 11 21 7.6 Y
1951 11 22 8.025 Y
1951 11 23 7.025 Y
1951 11 24 4.425 Y
1951 11 25 6.35 Y
1951 11 26 3.26667 Y
1951 11 27 5.275 Y
1951 11 28 6.2 Y
1951 11 29 2.3 Y
1951 11 30 2.1 Y
1951 12 01 6.425 Y
1951 12 02 2.6 Y
1951 12 03 0.666667 Y
1951 12 04 4.56667 Y
1951 12 05 7.075 Y
1951 12 06 5.55 Y
1951 12 07 2.2 Y
1951 12 08 4.36667 Y
1951 12 09 6.05 Y
1951 12 10 1.775 Y
1951 12 11 0.0666667 Y
1951 12 12 1.73333 Y
1951 12 13 3.9 Y
1951 12 14 3.26667 Y
1951 12 15 4.8 Y
1951 12 16 4.3 Y
1951 12 17 1.13333 Y
1951 12 18 4.56667 Y
1951 12 19 5.425 Y
1951 12 20 5.375 Y
1951 12 21 4.45 Y
1951 12 22 3.2 Y
1951 12 23 4.65 Y
1951 12 24 4.525 Y
1951 12 25 5.475 Y
1951 12 26 4.975 Y
1951 12 27 3.475 Y
1951 12 28 3.16667 Y
1951 12 29 3.43333 Y
1951 12 30 2.7 Y
1951 12 31 3.8 Y
1952 01 01 3.575 Y
1952 01 02 1.26667 Y
1952 01 03 0.166667 Y
1952 01 04 -0.4 Y
1952 01 05 -0.133333 Y
1952 01 06 0.0666666 Y
1952 01 07 5.8 Y
1952 01 08 3.3 Y
1952 01 09 4.575 Y
1952 01 10 2 Y
1952 01 11 1.8 Y
1952 01 12 0.666667 Y
1952 01 13 -0.333333 Y
1952 01 14 -0.0666667 Y
1952 01 15 2.93333 Y
1952 01 16 4.125 Y
1952 01 17 1.06667 Y
1952 01 18 0.466667 Y
1952 01 19 0.8 Y
1952 01 20 0.133333 Y
1952 01 21 -2.2 Y
1952 01 22 -5.46667 Y
1952 01 23 -2.33333 Y
1952 01 24 -2.76667 Y
1952 01 25 -0.9 Y
1952 01 26 -0.3 Y
1952 01 27 -0.466667 Y
1952 01 28 -0.466667 Y
1952 01 29 -2.13333 Y
1952 01 30 -0.333333 Y
1952 01 31 -0.3 Y
1952 02 01 0.266667 Y
1952 02 02 1.06667 Y
1952 02 03 0.9 Y
1952 02 04 1.2 Y
1952 02 05 -0.533333 Y
1952 02 06 0.166667 Y
1952 02 07 2.26667 Y
1952 02 08 0.666667 Y
1952 02 09 -2.4 Y
1952 02 10 -2.56667 Y
1952 02 11 -3.1 Y
1952 02 12 -2.53333 Y
1952 02 13 -5.03333 Y
1952 02 14 -6.06667 Y
1952 02 15 -1.8 Y
1952 02 16 -0.366667 Y
1952 02 17 -2.66667 Y
1952 02 18 -5.33333 Y
1952 02 19 -2.26667 Y
1952 02 20 -0.933333 Y
1952 02 21 3.13333 Y
1952 02 22 1.2 Y
1952 02 23 0.7 Y
1952 02 24 -1.03333 Y
1952 02 25 0.266667 Y
1952 02 26 2.03333 Y
1952 02 27 0.4 Y
1952 02 28 0.133333 Y
1952 02 29 0.866667 Y
1952 03 01 -1.93333 Y
1952 03 02 -2.16667 Y
1952 03 03 -1.7 Y
1952 03 04 -2.16667 Y
1952 03 05 -2 Y
1952 03 06 -3.06667 Y
1952 03 07 -2.3 Y
1952 03 08 -1.43333 Y
1952 03 09 1.13333 Y
1952 03 10 1.36667 Y
1952 03 11 1.96667 Y
1952 03 12 0.566667 Y
1952 03 13 -1.66667 Y
1952 03 14 -1.5 Y
1952 03 15 3.03333 Y
1952 03 16 2.46667 Y
1952 03 17 -1.13333 Y
1952 03 18 -1.16667 Y
1952 03 19 -3.6 Y
1952 03 20 -3.56667 Y
1952 03 21 -5.16667 Y
1952 03 22 -6.4 Y
1952 03 23 -5.1 Y
1952 03 24 -3.86667 Y
1952 03 25 -7 Y
1952 03 26 -5.93333 Y
1952 03 27 -5.23333 Y
1952 03 28 -4.8 Y
1952 03 29 -5 Y
1952 03 30 -5.6 Y
1952 03 31 -3.26667 Y
1952 04 01 -3.56667 Y
1952 04 02 -1.2 Y
1952 04 03 1.33333 Y
1952 04 04 1.9 Y
1952 04 05 3.9 Y
1952 04 06 4.5 Y
1952 04 07 4.9 Y
1952 04 08 5.35 Y
1952 04 09 4.16667 Y
1952 04 10 5.7 Y
1952 04 11 4.86667 Y
1952 04 12 10.6667 Y
1952 04 13 9.95 Y
1952 04 14 11.275 Y
1952 04 15 11.925 Y
1952 04 16 5.9 Y
1952 04 17 5.1 Y
1952 04 18 5.85 Y
1952 04 19 6.075 Y
1952 04 20 5.6 Y
1952 04 21 7.65 Y
1952 04 22 9.925 Y
1952 04 23 9.85 Y
1952 04 24 7.975 Y
1952 04 25 7.075 Y
1952 04 26 7 Y
1952 04 27 8.425 Y
1952 04 28 10.65 Y
1952 04 29 8.725 Y
1952 04 30 8.6 Y
1952 05 01 7.05 Y
1952 05 02 4.95 Y
1952 05 03 7.325 Y
