Datum Tid (UTC) Lufttemperatur Kvalitet
1961 08 20 15.0667 G
1961 08 21 14.5333 G
1961 08 22 14.4667 G
1961 08 23 14.6667 G
1961 08 24 14.3667 G
1961 08 25 14.2667 G
1961 08 26 14.7 G
1961 08 27 17.9333 G
1961 08 28 18.1 G
1961 08 29 17.3667 G
1961 08 30 19.8 G
1961 08 31 20.7 G
1961 09 01 20.4 G
1961 09 02 18.1333 G
1961 09 03 17.6667 G
1961 09 04 16.2 G
1961 09 05 14.9333 G
1961 09 06 16.4667 G
1961 09 07 14.3 G
1961 09 08 13.9667 G
1961 09 09 14 G
1961 09 10 13.2667 G
1961 09 11 15.7667 G
1961 09 12 13.7 G
1961 09 13 13.0667 G
1961 09 14 14.6667 G
1961 09 15 15.0667 G
1961 09 16 19.0667 G
1961 09 17 19.9333 G
1961 09 18 16.0333 G
1961 09 19 14.2333 G
1961 09 20 13.4 G
1961 09 21 13.8667 G
1961 09 22 13.9 G
1961 09 23 12.7 G
1961 09 24 13.4 G
1961 09 25 13.1333 G
1961 09 26 12.3 G
1961 09 27 12.5333 G
1961 09 28 14.7 G
1961 09 29 15.3667 G
1961 09 30 13.9333 G
1961 10 01 13.5667 G
1961 10 02 12.8333 G
1961 10 03 13.9333 G
1961 10 04 13.7333 G
1961 10 05 13.9 G
1961 10 06 14.5 G
1961 10 07 14.0667 G
1961 10 08 12.8 G
1961 10 09 11.6667 G
1961 10 10 14.3333 G
1961 10 11 14.2667 G
1961 10 12 12.3667 G
1961 10 13 10.9 G
1961 10 14 12.2667 G
1961 10 15 12.1667 G
1961 10 16 11.7 G
1961 10 17 9.46667 G
1961 10 18 9.83333 G
1961 10 19 9.7 G
1961 10 20 10.4 G
1961 10 21 10.9667 G
1961 10 22 9.06667 G
1961 10 23 10.7333 G
1961 10 24 9.53333 G
1961 10 25 11.4333 G
1961 10 26 9.93333 G
1961 10 27 12.3333 G
1961 10 28 10.0333 G
1961 10 29 9.16667 G
1961 10 30 8.66667 G
1961 10 31 9.1 G
1961 11 01 9.73333 G
1961 11 02 9.9 G
1961 11 03 8.93333 G
1961 11 04 5.26667 G
1961 11 05 3.53333 G
1961 11 06 3.06667 G
1961 11 07 7.7 G
1961 11 08 8.13333 G
1961 11 09 6.6 G
1961 11 10 7.86667 G
1961 11 11 6.53333 G
1961 11 12 7.63333 G
1961 11 13 4 G
1961 11 14 3 G
1961 11 15 2.76667 G
1961 11 16 7 G
1961 11 17 6.33333 G
1961 11 18 4.23333 G
1961 11 19 1.1 G
1961 11 20 1.26667 G
1961 11 21 2.33333 G
1961 11 22 -0.966667 G
1961 11 23 2.43333 G
1961 11 24 4 G
1961 11 25 3.16667 G
1961 11 26 4 G
1961 11 27 2.23333 G
1961 11 28 1.7 G
1961 11 29 4.9 G
1961 11 30 3.86667 G
